8;320;0;3,56;3,43;3,35;3,37;3,36;3,32;5,03;4,66;4,2;4,07;4,01;3,85;3,9;3,71;3,72;3,76;3,78;3,78;3,41;3,34;3,11;3,02;2,89;0
12;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;440;0;7;6;5;5;5;4;0;2;1;1;1;1;2;0;2;0;0;0;0;0;0;0;0;0
13;450;0;11;11;11;12;12;12;19;19;17;13;14;15;14;14;14;0;0;0;0;0;0;0;0;0
13;460;0;69;71;71;72;73;73;64;66;64;64;71;70;78;70;69;0;0;0;0;0;0;0;0;0
13;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;430;0;42;44;44;46;47;48;47;43;40;38;37;38;41;43;45;47;47;48;54;54;51;49;46;0
14;440;0;820655,3;855972,98;878470,85;910491,4;930059,57;958245,82;980857,7;898235,65;844364,12;798230;796939,58;808022,55;856391,41;889909,93;924514,56;956656,9;972932,7;977151,92;1026516,16;1026516,16;961051,53;918182,87;877220,76;0
14;540;0;62;72;75;75;79;87;10;125;123;136;136;190;206;245;278;307;310;303;0;3242;1006;744;640;0
15;130;0;19;18;18;17;18;17;15;18;17;17;17;17;16;16;16;15;14;14;12;12;11;10;10;0
15;140;0;287903,08;279004,01;276860,98;272355,19;275790,1;273999,54;263002,43;294100,22;278953,72;276930,23;277397,46;276072,49;269222,87;262940,28;258053,81;246514,93;236052;227739,64;183396,76;179942,41;162537,09;149306,84;141424,25;0
21;430;0;144;147;146;143;144;147;153;136;132;125;117;112;109;108;107;105;103;100;62;58;54;49;45;0
21;440;0;1660314,89;1701868,03;1690572,63;1676328,82;1698381,31;1739472,97;1929340,29;1703559,01;1659664,32;1587452,32;1504987,93;1437779,83;1406901,83;1392320,84;1386985,54;1359605,51;1325955,97;1300866,39;849582,29;804061,43;752062,18;689103,16;639023,6;0
21;540;0;92;101;100;101;105;115;22;115;119;114;124;130;137;148;159;171;181;192;1763;376;385;325;267;0
22;430;0;19;19;19;19;19;19;22;20;18;20;21;24;25;25;24;24;23;22;12;13;12;11;11;0
22;440;0;279750,82;281644,14;288671,14;290978,7;285118,98;289640,28;346416,08;309540,35;282541,55;319199,78;332669,64;386368,63;395985,89;399166,25;394702,93;385738,99;378698,31;367843,94;188225,32;203207;190086,75;186913,51;192343,35;0
22;540;0;68;73;77;77;78;81;168;116;100;115;99;127;90;100;112;112;118;120;70;96;109;123;159;0
23;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;130;0;30;30;31;30;30;30;23;27;29;30;30;31;31;30;30;30;29;29;19;18;17;16;16;0
24;140;0;366795,47;376691,82;384343,25;383160,73;383668,91;382834,62;312096,3;358415,55;393856,29;414175,86;412106,68;422985,41;425265;427652,38;429736,84;421806,3;418853,92;410894,79;274047,19;260761,87;240906,77;227818,94;219966,24;0
25;460;0;72;71;69;67;66;67;89;86;83;86;89;90;93;95;95;96;95;95;88;85;80;75;71;0
25;470;0;1194464,09;1188382,82;1156102,87;1119586,28;1102150,42;1111995,32;1420443,7;1363847,35;1330816,78;1356195,02;1385133,12;1389680,93;1439289,69;1463850,7;1469451,66;1475054,44;1461944,88;1448438,31;1322495,96;1259709,85;1184890,99;1113123,18;1055610,58;0
26;370;0;9;10;11;12;12;12;14;15;16;15;14;241;13;12;11;11;11;11;8;8;8;8;8;0
26;380;0;57927,4;166981,56;63823,13;71669,64;76014,93;80087,62;125516,74;129055,05;134385,65;120890,43;106265,15;13;97572,56;85147,91;81794,84;79386,32;78459,61;78020,69;69280,99;66263,36;71838,43;79982,53;84868,99;0
26;440;0;24;72;28;32;33;36;13;73;94;54;50;97572,56;51;47;47;51;55;59;0;0;0;0;0;0
27;370;0;6;6;6;7;7;7;5;7;8;9;10;51;11;11;11;11;11;11;7;7;7;8;8;0
